Source,Target,nature_lien,label
aves_aa_4R_auth_0001,1400,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0002,1400,conseiller_des_marchands,"colmar, von, hannemann"
aves_aa_4R_auth_0003,1400,conseiller_des_boulangers,"gerung, "
aves_aa_4R_auth_0004,1400,conseiller_des_bouchers,"rotschilt, wilhelm"
aves_aa_4R_auth_0005,1400,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0006,1400,conseiller_des_tonneliers,"schott, claus"
aves_aa_4R_auth_0007,1400,conseiller_des_tanneurs,"issenhausen, ulrich"
aves_aa_4R_auth_0008,1400,conseiller_des_cabaretiers,", sigel"
aves_aa_4R_auth_0009,1400,conseiller_des_maçons,"kindelin, erhart"
aves_aa_4R_auth_0010,1400,conseiller_des_forgerons,", andres"
aves_aa_4R_auth_0011,1400,conseiller_des_tailleurs,"gumbrecht, von, diebolt"
aves_aa_4R_auth_0012,1400,conseiller_des_bateliers,"boppe, küntz"
aves_aa_4R_auth_0013,1400,conseiller_des_charpentiers,"tummeler, dietrich"
aves_aa_4R_auth_0014,1400,conseiller_des_pelletiers,"westermann, johanns"
aves_aa_4R_auth_0015,1400,conseiller_des_crieurs_et_mesureurs_de_vin,"heischer, lienhart"
aves_aa_4R_auth_0016,1400,conseiller_des_cordonniers,"laubeck, johanns"
aves_aa_4R_auth_0017,1400,conseiller_des_orfevres,"honau, peter"
aves_aa_4R_auth_0018,1400,conseiller_des_marchands_de_grains,"hühnerer, ulrich"
aves_aa_4R_auth_0019,1400,conseiller_des_jardiniers,"nattener, andres"
aves_aa_4R_auth_0020,1400,conseiller_des_pêcheurs,"schwicker, johanns"
aves_aa_4R_auth_0021,1400,conseiller_des_barbiers_et_baigneurs,", heintz"
aves_aa_4R_auth_0022,1400,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0023,1400,conseiller_des_tisserands,"ingenheim, von, claus"
aves_aa_4R_auth_0024,1400,conseiller_des_gourmets_et_courtiers,"diether, johanns"
aves_aa_4R_auth_0025,1400,conseiller_des_charrons,"dingsheim, claus"
aves_aa_4R_auth_0026,1400,conseiller_des_regrattiers_cordiers_et_fruitiers,"hagenau, von, peter"
aves_aa_4R_auth_0027,1400,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0028,1400,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0029,1400,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"rhinau, walther"
aves_aa_4R_auth_0030,1401,ammeister,"sünner, peter"
aves_aa_4R_auth_0031,1401,conseiller_des_marchands,"barpfennig, ruhlemann"
aves_aa_4R_auth_0032,1401,conseiller_des_boulangers,", johanns"
aves_aa_4R_auth_0033,1401,conseiller_des_bouchers,"berse, von, wilhelm"
aves_aa_4R_auth_0034,1401,conseiller_des_drapiers,"herbst, johanns"
aves_aa_4R_auth_0035,1401,conseiller_des_tonneliers,"langneffe, johanns"
aves_aa_4R_auth_0036,1401,conseiller_des_tanneurs,"hanseler, johanns"
aves_aa_4R_auth_0037,1401,conseiller_des_cabaretiers,"kranich, heinrich"
aves_aa_4R_auth_0038,1401,conseiller_des_maçons,"gans, johanns"
aves_aa_4R_auth_0039,1401,conseiller_des_forgerons,"trüchtersheim, von, eberhart"
aves_aa_4R_auth_0040,1401,conseiller_des_tailleurs,", heilmann"
aves_aa_4R_auth_0041,1401,conseiller_des_bateliers,"nellesheim, johanns"
aves_aa_4R_auth_0042,1401,conseiller_des_charpentiers,"seelose, heintz"
aves_aa_4R_auth_0043,1401,conseiller_des_pelletiers,"münch, ottemann"
aves_aa_4R_auth_0044,1401,conseiller_des_crieurs_et_mesureurs_de_vin,"beildeck, fritsch"
aves_aa_4R_auth_0045,1401,conseiller_des_cordonniers,", christian"
aves_aa_4R_auth_0046,1401,conseiller_des_orfevres,"henneckin, claus"
aves_aa_4R_auth_0047,1401,conseiller_des_marchands_de_grains,"rhinau, andres"
aves_aa_4R_auth_0048,1401,conseiller_des_jardiniers,"stacheler, johanns"
aves_aa_4R_auth_0049,1401,conseiller_des_pêcheurs,", stoffelus"
aves_aa_4R_auth_0050,1401,conseiller_des_barbiers_et_baigneurs,"pfennigmann, johanns"
aves_aa_4R_auth_0051,1401,conseiller_des_sauniers,"saltzmütter, johanns"
aves_aa_4R_auth_0052,1401,conseiller_des_tisserands,"dolde, johanns"
aves_aa_4R_auth_0053,1401,conseiller_des_gourmets_et_courtiers,"schrotbanck, walther"
aves_aa_4R_auth_0054,1401,conseiller_des_charrons,"wigang, "
aves_aa_4R_auth_0055,1401,conseiller_des_regrattiers_cordiers_et_fruitiers,"kleinhanns, diethmar"
aves_aa_4R_auth_0056,1401,conseiller_des_coltineurs_de_tonneaux,"kornbick, claus"
aves_aa_4R_auth_0057,1401,conseiller_des_constructeurs_de_bateaux,"bobst, lienhart"
aves_aa_4R_auth_0058,1401,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"ölmann, walther"
aves_aa_4R_auth_0001,1402,conseiller_des_bouchers,"metziger, wilhelm"
aves_aa_4R_auth_0014,1402,conseiller_des_pelletiers,"westermann, johanns"
aves_aa_4R_auth_0015,1402,conseiller_des_crieurs_et_mesureurs_de_vin,"heischer, lienhart"
aves_aa_4R_auth_0022,1402,ammeister,"gosse, ulrich"
aves_aa_4R_auth_0029,1402,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"rhinau, walther"
aves_aa_4R_auth_0037,1402,conseiller_des_cabaretiers,"kranich, heinrich"
aves_aa_4R_auth_0041,1402,conseiller_des_bateliers,"nellesheim, johanns"
aves_aa_4R_auth_0059,1402,conseiller_des_marchands,"barpfennig, johanns"
aves_aa_4R_auth_0060,1402,conseiller_des_boulangers,", küntz"
aves_aa_4R_auth_0061,1402,conseiller_des_drapiers,"färber, johanns"
aves_aa_4R_auth_0062,1402,conseiller_des_tonneliers,"heinrich, johanns"
aves_aa_4R_auth_0063,1402,conseiller_des_tanneurs,"stumpf, heintz"
aves_aa_4R_auth_0064,1402,conseiller_des_maçons,"bergheim, johanns"
aves_aa_4R_auth_0065,1402,conseiller_des_forgerons,"sporer, stefan"
aves_aa_4R_auth_0066,1402,conseiller_des_tailleurs,"schön, heintz"
aves_aa_4R_auth_0067,1402,conseiller_des_charpentiers,", obrecht"
